CODE,PROJECT,SLOT_SIZE,VISIBILITY,PROJECT_DETAILS,REPOSITORY,TOP,SHA256,LAYOUT
2975,Cloneless1,1x1,Public,Cloneless1 is a cryptographic ASIC that implements a physically secure block cipher instance with tamper-resistant long-term secret via physically unclonable function and leakage-resilient secret sharing.,https://github.com/ThorbenMoos/Cloneless1,chip_top,af0d087e19471f52ce57399f4e436f8bd9dbedac36f251a3cafdfe1600399b34,2975/chip_top.gds
AS03,WS-Multi,1x1,Public,Multi-project die,https://github.com/AvalonSemiconductors/ws-submission-2025/,chip_top,51153e7799aba1c19a5d6ae17b3bb8bc301fb363c1374be11e8ee74a5b0c6a23,AS03/chip_top.gds
BRWN,FA25_Engn2912e_Saligane_Brown,1x1,Public,FA25 ENGN2912e@Brown Course Project,,ENGN2912E_TOP,dcbf5b02fe7e5cd36f78012eebb2b6fd5f4db740c3f56357123b9a304018b1ac,BRWN/ENGN2912E_TOP.gds
BTAP,BreakingTTAPs,1x1,Public,Transport Triggered Architecture processor,https://github.com/polyfractal/BreakingTTAPs,chip_top,d0b1e6f2b229b7394b91722dee8c37a8487d59b739d025b69f74f3144fbad024,BTAP/chip_top.gds
CAFE,FazyRV Hachure,1x1,Public,FazyRV Hachure is a System on Chip that integrates seven different variants of the bit-serial FazyRV RISC-V core in one chip for testing and research purposes. ,https://github.com/meiniKi/gf180mcu-fazyrv-hachure,chip_top,fa62613487c55eef942b0b887862d31f37e575372d34e8b153923528f3e0d5a5,CAFE/chip_top.gds
CHES,chess-move-generator,1x1,Public,Eight-core chess move generator.,https://github.com/Ravenslofty/gf180mcu-chess,chip_top,a57360efc7db09712afa9f5c9a7587076b32c8e38d1e38d6712665728a973f96,CHES/chip_top.gds
GD02,Racquet Half r1p0 (1/2 slot),0p5x1,Public,"An SoC based off the award-winning SERV, the world's smallest RISC-V CPU. With all the room available in the full-slot we can fit 9 cores connected to local SRAM. Each core is loaded from SPI FLASH on boot, and connected to some peripherals. A queue peripheral enables both synchronisation and core-core communications. ",https://github.com/gregdavill/gf180mcu-racquet-0.5x1,chip_top,5d08605b4b4232ac90e3441d5c62a2787bf7d87e19cad0604f224721359f308d,GD02/chip_top.gds
GD03,Racquet r2p0 - 23 core SoC,1x1,Public,"An SoC based off the award-winning SERV, the world's smallest RISC-V CPU. With all the room available in the full-slot we can fit 23 cores connected to local SRAM. Each core is loaded from SPI FLASH on boot, and connected to a slew of peripherals: uarts, timers and more uarts. A queue peripheral enables both synchronisation and core-core communications.",https://github.com/gregdavill/gf180mcu-racquet/,chip_top,1c7d0b7d47a83693d76bdc48f0652fd64b07ae1f33f7aa8047055a0c713f98e2,GD03/chip_top.gds
GD04,Racquet Wide 1x0.5,1x0p5,Public,"A Configuration of racquet, a multicore Serv based SoC - 9t 5v0 standard cells - Difetto to incorporate DFT scan chain into design - 6 cores ",https://github.com/gregdavill/gf180mcu-racquet-1x0.5,chip_top,51b9dd5629d2e64295fd062331282e7f5bd30e17930cb3490f7fa5dc4f4f545a,GD04/chip_top.gds
HZ80,FOSSi open-source replacement for Z80 classic 8-bit CPU (0.5 x 1 slot),0p5x1,Public,"Silicon proven, pin compatible, open-source replacement for Zilog Z80 a classic 8-bit CPU. https://github.com/rejunity/z80-open-silicon ",https://github.com/rejunity/ws0-z80-open-silicon-gf180mcu,chip_top,c35c805896b12021a0c17814c4de4884f0d41eb777936f5109912066a2e86af0,HZ80/chip_top.gds
ISHI,ISHI-KAI's Multiple Users Project,1x1,Public,"We, ISHI-KAI, are a community that promotes open source PDK & EDA. This time, we brought together 14 novice semiconductor designers (most of whom were new to semiconductor design), each of whom created an analog circuit, such as an Inverter or OPAMP, ADC, PLL, BGR, CS, made using xschem & klayout with P-Cells . All schematics and layouts are released under an open source license. In addition, pads for probing were added to all circuits, taking into account that only bare dies are received. Since ISHI-KAI has university professors and semiconductor companies as collaborators, we are able to borrow probers through the generosity of professors and companies.Therefore, we plan to run analog circuits by probing. ",https://github.com/ishi-kai/ISHI-KAI_Multiple_Projects_WaferSapce-GF180-1,ISHI-KAI_WS_RUN1,270e32b20b8f0fb0d03c35335c15c357edfddf61011f9672aed9fb320617dea0,ISHI/ISHI-KAI_WS_RUN1.gds
JKU1,gf180mcu-jku-projects,1x1,Public,This wafer.space tapeout includes various projects from the IICQC at JKU and a TinyWhisper RISC-V from JMU.,https://github.com/iic-jku/gf180mcu-jku-projects,chip_top,774a0d2eb1e944f0f88301dade98448a79674568c452862c8aec0eb313a9d480,JKU1/chip_top.gds
JKU2,gf180mcu-jku-atbs-adc,1x0p5,Public,This wafer.space tapeout includes the digital core of an ATBS ADC from the IICQC at JKU.,https://github.com/iic-jku/gf180mcu-jku-atbs-adc,chip_top,abdbf57879b209b6ab20ab4dd5c1638e4b1ed90ed915d500a704ca3591a7ef4b,JKU2/chip_top.gds
KIAN,KianV: A 32-bit RISC-V Linux SoC taped out on GF180MCU,1x1,Public,KianV SV32 (MMU) RV32IMA Zicntr Zicsr Zifencei SSTC Linux/XV6 SoC,https://github.com/splinedrive/gf180mcu-kianv-rv32ima-sv32/,chip_top,9b3936dd4b1688004d86d37af4fcf1f3308e7208ebcc9672989ef0697a7e68c1,KIAN/chip_top.gds
MOLE,FABulous FPGA,1x1,Public,"An open source FPGA generated using the FABulous eFPGA framework that can be programmed using Yosys and nextpnr. It can be configured via an active or passive SPI interface. In active mode, the bitstream is read from an external SPI flash from one of 16 slots. Specs: 48x I/Os, 480x LUT4, 6x SRAM 512x8, 6x MAC, 12x Register file ",https://github.com/mole99/gf180mcu-fabulous-fpga,chip_top,19efec9e7b5f96cefc68375d4f402ea3f204926f8866839a4c71fb74ef49901b,MOLE/chip_top.gds
MOS2,AutoMOS-Chipathon-2025 full size,1x1,Public,Embedded Chipathon design,https://github.com/AutoMOS-project/AutoMOS-chipathon2025/tree/update-for-ws,chip_top,d4cd6202bb5c01d2805b9fd220b53d39ba35c7260eca342a731f64795785cc12,MOS2/chip_top.gds
MOSB,MOSbiusV3,1x1,Public,,,chip_top,e5f4ff37ef6aaa487ae2c23959f81b9207213b2ac4a470ba2da550cac0002498,MOSB/chip_top.gds
OCD1,openframe_caravel_picorv32,1x1,Public,"Synthesis test of the gf180mcu_ocd_io, gf180mcu_ocd_ip_sram, and gf180mcu_as_sc_mcu7t3v3 libraries with a project framework similar to the Efabless ""openframe"" version of Caravel for sky130. ",https://github.com/RTimothyEdwards/gf180mcu_ocd_openframe,caravel_openframe_top,adf56210beb5711474653d1b4dd34f41e72c7f24bd906205779e4fa8662aeefe,OCD1/caravel_openframe_top.gds
OCD2,ocd_sram_test,1x0p5,Public,"Test chip for the 3.3V SRAM macros (256 byte, 512 byte, and 1kbyte) from the library gf180mcu_ocd_ip_sram. The test chip consists of one each of the 1kB and 512B SRAM cores and two 256B cores pinned out to individual GPIO pins. Also there is a POR macro with a test output. ",https://github.com/RTimothyEdwards/gf180mcu_ocd_sram_test,gf180mcu_ocd_sram_top,ed49ce0e8ed7987906c3224370be20dc53a80bc8623ec24ee28afd034931b585,OCD2/gf180mcu_ocd_sram_top.gds
RBOY,RISCBoy-180,1x1,Public,"A video games console on a chip. RISC-V CPU, RISC-V APU and custom graphics hardware. ",https://github.com/wren6991/riscboy-180,chip_top,2ac546347fc4c827c04b004fe697ee8c25355e3ea0d11fc44b5e4039c5c95273,RBOY/chip_top.gds
RZ80,FOSSi open-source replacement for Z80 classic 8-bit CPU,1x1,Public,"Silicon proven, pin compatible, open-source replacement for Zilog Z80 a classic 8-bit CPU. https://github.com/rejunity/z80-open-silicon ",https://github.com/rejunity/ws0-z80-open-silicon-gf180mcu?tab=readme-ov-file,chip_top,0f6bc735aafdc07301a7b6d874cf65a374224b10a8c001a6f00e1f404020bcb5,RZ80/chip_top.gds
RZML,LGN FashionMNIST - Logic Gate Network trained on FashioMNIST,1x1,Public,EXPERIMENTAL!!! The world smallest image classifier. Differential Logic / Logic Gate Network trained to classify tiny 28x28 images based on FashionMNIST dataset. ,https://gitlab.com/rejunity/ws0-lgn-fxnist-gf180mcu-tapeout,chip_top,cc0cee0dd1f44e2519d3ee2bde4f9e7be3c83e58d90aaf4bd8054cd749d7c7b1,RZML/chip_top.gds
TQVA,TinyQV - Crowdsourced Risc-V SoC,0p5x0p5,Public,A Risc-V RV32EC SoC with peripherals from the Tiny Tapeout Risc-V competition. This version uses a quarter sized slot. ,https://github.com/MichaelBell/ws01-tinyQV,chip_top,9888443a91bca5be0fb89e653d07a57669e98a31012fb9c3233285750b0bbb7b,TQVA/chip_top.gds
TQVB,TinyQV - Crowdsourced Risc-V SoC (0.5x1),0p5x1,Public,A Risc-V RV32EC SoC with peripherals from the Tiny Tapeout Risc-V competition. This version uses a half width slot (but is otherwise identical to the quarter size version) ,https://github.com/MichaelBell/ws01-tinyQV,chip_top,1ce583399c38b67007f11c065c77e274748fcd4ab2ac3270c3005b9cda36abb2,TQVB/chip_top.gds
TQVC,TinyQV - Crowdsourced Risc-V SoC (1x0.5),1x0p5,Public,A Risc-V RV32EC SoC with peripherals from the Tiny Tapeout Risc-V competition. This version uses a half height slot (but is otherwise identical to the quarter size version) ,https://github.com/MichaelBell/ws01-tinyQV,chip_top,f2b98fbdae9f7a55ef5ed8b5447bec0a651d8239b0cfce9e5bb1f5fd1409f44a,TQVC/chip_top.gds
TRID,gf180mcu-project-trident-gf180-teststructure,0p5x1,Public,Test structures to evaluate leakage currents in gf180mcuD technology ,https://github.com/Scafir/gf180mcu-project-trident-gf180-teststructure,TOP,7d319382160df1c102aea162015a8cb007dc6d42c7418f0e104e01dd29100673,TRID/TOP.gds
TTP2,Tiny Tapeout GF 0.2,1x1,Public,https://tinytapeout.com ,https://github.com/TinyTapeout/tinytapeout-gf-0p2,tt_gf_wrapper,6c2f1172400eabfcc5bbd2259a995ac67ad17f77140ba1e1be1bbdd361f01cc1,TTP2/tt_gf_wrapper.gds
TTPG,Tiny Tapeout GF 0p2 - Power Gated Variant,1x1,Public,https://tinytapeout.com ,https://github.com/TinyTapeout/tinytapeout-gf-0p2,tt_gf_wrapper,f9e7dee55fb470b65f385bddef8f27a3e368b0fac2ce8c73f842cfac2c97d412,TTPG/tt_gf_wrapper.gds
TZ01,TillitisZedulo-testchip2025,1x1,Public,eFUSE and SRAM testchip put together by Egorexe and Zedulo team with support from Tillitis ,https://github.com/ZeduloTech/gf180mcu-testchip2025,chip_top,621d3fa6a887c396db4fa3339694834cf5d40184b9157c40229060424af0f717,TZ01/chip_top.gds
WSLG,Wafer.Space Logo,1x1,Public,Die with a big wafer.space logo on it! ,https://github.com/89Mods/ws-logo-die,chip_top,a6d1c124ab41aeb3df9b15be10e5a235af94acf81e6765c85f35ff953b1935b2,WSLG/chip_top.gds
